date,close,volume,open,high,low
8/7/15,116.93,3985469,116.7,117.16,115.78
8/6/15,116.56,4768769,118.39,118.5,116.07
8/5/15,118,4299026,118.38,118.53,117.1001
8/4/15,117.53,3005356,116.63,117.82,116.25
8/3/15,116.89,3645105,117.62,117.7,116.16
7/31/15,117.03,4301048,116.98,118.13,116.37
7/30/15,116.46,3290936,115.94,116.74,115.345
7/29/15,116.37,5100276,115.16,116.76,115.11
7/28/15,114.84,4176783,113.76,115.03,113.18
7/27/15,113.07,4465267,113.37,113.89,112.71
7/24/15,113.59,4427420,114.74,115.23,113.43
7/23/15,114.59,4308850,115.21,116.11,114.43
7/22/15,114.9,5483043,113.96,115.08,113.8
7/21/15,113.86,4658165,113.41,113.97,112.678
7/20/15,113.41,6107437,112.25,114.1095,112.17
7/17/15,114.47,5497466,114.49,115,114
7/16/15,114.73,5234624,115.87,115.91,113.83
7/15/15,115.58,3365021,115.42,116.15,115.07
7/14/15,115.36,3688831,114.5,115.53,114.39
7/13/15,114.9,4168032,114.21,115.02,114.0655
7/10/15,113.1,4631403,112.67,113.48,112.09
7/9/15,111.38,3642461,112.32,112.59,111.2
7/8/15,111,3793965,111.72,112.46,110.8
7/7/15,112.4,5515747,111.72,112.6399,110.7
7/6/15,111.32,3864564,110.27,111.93,110.17
7/2/15,111.49,3845043,112.58,112.75,111.1
7/1/15,112.07,4213677,112.45,112.81,111.47
6/30/15,111.13,5938639,111.15,111.76,110.59
6/29/15,110.54,5185549,111.56,112.32,110.46
6/26/15,112.6,4169908,112.77,113.34,112.23
6/25/15,112.24,4466982,113.24,113.71,112.24
6/24/15,112.35,3716056,112.94,113.68,112.35
6/23/15,113.18,3075714,113.24,113.59,112.93
6/22/15,113.07,3190171,112.93,113.62,112.78
6/19/15,112.43,9198689,111.64,113.3,111.44
6/18/15,111.85,7222290,111.06,112.3,110.76
6/17/15,110.47,5722044,110.73,111.29,109.96
6/16/15,110.23,3466508,109.9,110.45,109.75
6/15/15,110.01,3965003,110.23,110.455,109.55
